site,date,longitude,latitude,reg01,reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17
text,yyyymmdd,dd,dd,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
CIT,20101111,-118.1225,34.1406,3.2619E-02,2.3489E-02,8.1985E-03,1.2157E-02,1.6491E-03,5.5461E-02,2.0185E-03,-5.2506E-04,0.0000E+00,-1.1325E-01,0.0000E+00,-3.7117E-01,0.0000E+00,0.0000E+00,3.9957E-04,6.0116E-03,4.0998E-01
CIT,20101113,-118.1225,34.1406,2.0256E-02,1.3713E-02,2.5249E-03,1.1651E-03,1.1351E-03,1.8921E-01,-1.4863E-04,-1.2694E-03,-6.6001E-04,3.1737E-01,1.0875E-01,2.5963E+00,3.6079E-03,5.8982E-03,3.7401E-04,2.0945E-01,2.7245E-01
CIT,20101115,-118.1225,34.1406,6.1101E-02,8.5975E-03,1.5107E-02,1.1544E-01,7.8686E-04,1.4146E-01,7.9300E-05,-1.9627E-03,-3.1349E-04,2.2560E-01,7.2099E-02,1.0829E+00,1.4364E-02,3.1860E-01,6.8985E-03,5.3787E-02,7.1828E-01
CIT,20101117,-118.1225,34.1406,3.8671E-02,-5.0862E-03,-1.2956E-02,3.3161E-01,-4.7067E-04,3.9223E-01,3.1986E-03,2.5891E-02,1.1338E-02,4.7779E-01,3.2963E-01,1.9836E+00,2.2304E-01,8.0200E-02,1.5434E-02,8.8967E-01,4.5181E-01
CIT,20101119,-118.1225,34.1406,4.3194E-02,2.3242E-02,9.1332E-02,1.3620E-01,3.7969E-03,1.0608E-01,8.0200E-02,1.0241E-01,2.3119E-01,2.7513E-01,4.6839E-01,7.9844E-01,1.0706E-01,2.1445E-01,4.7459E-03,5.9171E-01,5.6832E-01
CIT,20101121,-118.1225,34.1406,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.1473E-01,-9.0324E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-9.4044E-02
CIT,20101123,-118.1225,34.1406,0.0000E+00,4.1910E-04,5.8200E-05,0.0000E+00,6.4400E-05,0.0000E+00,1.8496E-02,9.1366E-03,1.3479E-01,2.1629E-02,8.9796E-01,3.6471E-01,0.0000E+00,0.0000E+00,0.0000E+00,-4.1160E-02,3.1172E-01
CIT,20101125,-118.1225,34.1406,-1.5141E-02,-4.7546E-02,-1.9171E-02,2.1621E-02,-6.2759E-03,-1.3910E-03,8.7692E-03,3.7874E-02,5.9797E-02,1.4405E-01,1.5267E-01,4.3613E-01,-7.7000E-05,-8.2836E-03,7.9265E-04,1.4748E-01,-1.6063E-02
CIT,20101127,-118.1225,34.1406,-3.0529E-03,-3.6793E-02,9.4338E-02,1.6799E-01,-3.6857E-03,6.7858E-02,3.5230E-02,1.2779E-01,5.4637E-02,1.4809E-01,2.4786E+00,9.3883E-01,1.3582E-02,4.3439E-02,2.6832E-03,1.3152E+00,1.0093E-01
CIT,20101129,-118.1225,34.1406,3.9691E-02,7.8709E-02,1.3964E-01,6.1773E-02,1.1821E-02,8.5749E-03,6.5289E-02,9.1716E-02,3.4448E-02,1.1578E-01,8.4151E-03,1.6433E-01,0.0000E+00,-1.8678E-04,4.2939E-04,-6.2922E-02,-2.1230E-03
LVR,20101101,-121.7083,37.6741,0.0000E+00,4.1526E-02,6.7577E-01,0.0000E+00,4.2708E-02,0.0000E+00,2.4281E-01,6.6994E-04,4.2901E-03,0.0000E+00,9.8200E-06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8351E-01
LVR,20101103,-121.7083,37.6741,1.2598E-01,1.7854E-01,4.7923E+00,1.3100E+00,2.2689E-02,3.7431E-01,-6.2895E-02,8.7810E-01,2.9899E-01,3.2714E-01,7.8695E-02,7.1452E-02,0.0000E+00,6.9120E-04,4.9612E-03,1.0533E+00,1.0428E-01
LVR,20101105,-121.7083,37.6741,1.0020E-01,3.4836E-01,4.7849E-01,2.2162E-01,9.5384E-02,1.2859E-01,2.9178E-01,5.1527E-01,9.3542E-01,9.9883E-02,5.0665E-01,1.2345E-01,3.8678E-02,3.8498E-02,1.1630E-04,1.1869E+00,7.5118E-01
LVR,20101107,-121.7083,37.6741,0.0000E+00,5.0408E-02,5.7105E-03,0.0000E+00,9.4261E-03,6.1600E-07,-1.6812E-01,0.0000E+00,1.1847E-01,-6.9800E-05,4.1982E-02,4.6600E-05,4.2000E-06,4.0100E-06,0.0000E+00,3.5197E-03,3.8370E-02
LVR,20101109,-121.7083,37.6741,0.0000E+00,1.0750E+00,1.9041E-03,0.0000E+00,1.8494E-03,0.0000E+00,-6.3629E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-4.4530E-02
LVR,20101111,-121.7083,37.6741,1.9365E-01,1.0163E-01,4.4814E-01,8.6855E-01,4.5928E-03,1.6216E-01,-1.0252E+00,1.6205E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.3897E-02,0.0000E+00,5.2793E-01
LVR,20101113,-121.7083,37.6741,1.0595E+00,1.6315E-01,5.6620E-01,1.1800E+00,9.1290E-04,1.7656E-02,-4.5834E-01,-1.7900E-06,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.9620E-02,-4.5100E-06,4.6106E-01
LVR,20101115,-121.7083,37.6741,7.6889E-01,2.2849E-01,3.2321E-01,7.5067E-01,0.0000E+00,0.0000E+00,-3.4762E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.3274E-02,0.0000E+00,5.0282E-01
LVR,20101117,-121.7083,37.6741,-2.9499E-01,2.4820E-02,2.4273E+00,5.4178E-01,1.4298E-02,1.3462E-03,-1.9873E+00,-2.9466E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.6922E-03,0.0000E+00,6.9891E-02
LVR,20101119,-121.7083,37.6741,0.0000E+00,3.5812E-01,4.1957E-03,0.0000E+00,2.2220E-02,0.0000E+00,1.3621E+00,2.1718E-02,2.7195E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.4147E-01
LVR,20101121,-121.7083,37.6741,5.8332E-03,4.6915E-02,1.0052E-03,0.0000E+00,1.2304E-04,0.0000E+00,-3.9979E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-2.5652E-01
