site,date,longitude,latitude,reg01,reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17
text,yyyymmdd,dd,dd,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
STB,20101111,-121.8205,39.2055,6.8984E-01,5.9351E-02,-1.3142E+00,1.7518E-01,4.1568E-04,0.0000E+00,5.8983E-04,9.5383E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.5753E-02
STB,20101113,-121.8205,39.2055,3.0447E+00,-4.8548E-04,-5.8908E-01,1.1067E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.0700E-05,0.0000E+00,2.1939E-01
STB,20101115,-121.8205,39.2055,7.8438E-01,2.9766E-02,-8.6661E-01,1.9231E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.9397E-01
STB,20101117,-121.8205,39.2055,-1.2859E-01,-1.2001E-02,-3.3590E-01,9.1298E-01,1.8471E-02,6.6103E-03,3.3605E-01,4.8625E+00,4.6723E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.8372E-03,8.6303E-02,1.5260E-01
STB,20101119,-121.8205,39.2055,0.0000E+00,1.0740E+00,3.0064E-01,4.4332E-04,4.1768E-01,0.0000E+00,1.3183E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.0959E-02
STB,20101121,-121.8205,39.2055,4.8860E-03,5.8240E-01,-4.7627E-02,0.0000E+00,1.1345E-01,0.0000E+00,8.0785E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.7189E-02
STB,20101123,-121.8205,39.2055,0.0000E+00,2.5428E-01,-1.4245E+00,1.8990E-04,4.1650E-02,0.0000E+00,5.5606E-02,1.0131E-03,2.4439E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1867E-01
STB,20101125,-121.8205,39.2055,1.5325E-01,3.6221E-02,-1.0924E+00,2.9482E-01,4.8496E-04,0.0000E+00,2.4248E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.0629E-04,0.0000E+00,-8.2025E-02
STB,20101127,-121.8205,39.2055,1.7944E-02,1.4256E-01,-2.9034E-02,2.4950E-03,1.7914E-02,-1.1548E-03,4.1062E-01,2.0006E-01,2.3312E-01,-2.3772E-03,-1.1596E-03,-9.4700E-05,0.0000E+00,-1.4200E-05,-4.2300E-05,3.9690E-02,1.2363E-01
STB,20101129,-121.8205,39.2055,3.6195E-01,2.3887E-01,-1.9554E+00,7.4409E-01,4.0874E-03,0.0000E+00,6.8793E-03,0.0000E+00,3.7882E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-8.1500E-05,0.0000E+00,1.2666E-01
STR,20101101,-122.4517,37.7553,0.0000E+00,4.8615E-01,0.0000E+00,0.0000E+00,4.2954E-03,0.0000E+00,1.0424E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.6582E-01
STR,20101103,-122.4517,37.7553,6.8936E-01,7.5100E-01,4.0541E+00,6.6493E-01,1.5309E-01,2.4620E-01,1.1902E+01,2.6564E+00,5.1508E-01,1.5111E-01,2.6055E-01,4.1997E-02,-3.3066E-04,-7.1000E-05,2.5733E-03,7.5889E-01,2.2059E+00
STR,20101105,-122.4517,37.7553,-1.5141E-02,7.2422E-02,1.0834E-02,8.2068E-04,5.8375E-03,3.0060E-02,3.2072E-03,-8.7487E-04,-1.4516E-04,3.3139E-03,-3.3714E-04,1.4660E-03,0.0000E+00,5.2100E-05,-2.1000E-06,2.1866E-02,3.8890E-01
STR,20101107,-122.4517,37.7553,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.7740E-01
STR,20101109,-122.4517,37.7553,0.0000E+00,1.1867E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.3263E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.5744E-01
STR,20101111,-122.4517,37.7553,2.7504E-01,1.6951E-01,9.0026E-01,7.3562E-01,9.3291E-02,1.4188E-02,-2.7710E-01,1.7155E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.1134E-02,0.0000E+00,2.8726E-01
STR,20101113,-122.4517,37.7553,2.3673E+00,2.3339E+00,8.5863E-01,2.4304E-01,2.7471E-01,2.6473E-03,-3.2321E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.5807E-03,0.0000E+00,5.5285E-01
STR,20101115,-122.4517,37.7553,1.1625E+00,4.1027E-01,5.0509E-01,4.1937E-02,5.3731E-02,0.0000E+00,-7.3929E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.4811E-01
STR,20101117,-122.4517,37.7553,1.2254E-01,1.0389E+00,3.5913E-01,-8.8779E-03,3.0060E-01,0.0000E+00,4.2516E+00,1.2722E-01,1.1830E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.2300E-07,2.7391E-04,1.6898E+00
STR,20101119,-122.4517,37.7553,0.0000E+00,5.8935E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1452E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.4445E-01
STR,20101121,-122.4517,37.7553,8.2912E-03,3.2012E-02,7.1168E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.9303E-01
STR,20101123,-122.4517,37.7553,0.0000E+00,-2.7240E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-2.0788E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-5.7590E-01
STR,20101125,-122.4517,37.7553,-1.7076E-01,3.0455E-01,7.7864E-01,-2.0425E-02,3.6948E-01,0.0000E+00,4.9226E-01,0.0000E+00,1.0241E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-2.2316E-01
STR,20101127,-122.4517,37.7553,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-6.2498E-03
STR,20101129,-122.4517,37.7553,3.8063E-01,2.7195E-01,8.1461E-01,2.4336E-02,1.1559E-01,0.0000E+00,5.0337E+00,8.2905E-04,2.0393E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.7669E-01
THD,20101101,-124.1508,41.0545,0.0000E+00,1.6161E-01,-7.0000E-06,0.0000E+00,2.7387E-02,0.0000E+00,2.1389E-03,0.0000E+00,-2.6200E-05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-8.3717E+00
THD,20101103,-124.1508,41.0545,4.0542E-01,2.4789E+01,2.7940E-02,0.0000E+00,7.3157E-02,0.0000E+00,1.6277E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.2592E+01
THD,20101105,-124.1508,41.0545,1.2474E+00,3.5860E+00,1.0503E+00,8.6159E-02,2.5994E-01,5.4255E-04,5.2785E-01,4.6462E-02,3.9305E-02,6.0273E-02,5.4972E-03,6.4261E-02,5.5114E-04,5.2688E-03,2.5278E-04,4.5464E-01,2.5013E+00
THD,20101107,-124.1508,41.0545,0.0000E+00,4.7691E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-2.5249E+00
THD,20101109,-124.1508,41.0545,0.0000E+00,1.1086E-01,2.7207E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.1280E-02
THD,20101111,-124.1508,41.0545,5.7902E-01,9.7830E+00,1.0305E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-7.8726E+00
THD,20101113,-124.1508,41.0545,6.7067E-02,-4.6125E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.4625E+00
THD,20101115,-124.1508,41.0545,0.0000E+00,-8.2178E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-3.9459E-01
THD,20101117,-124.1508,41.0545,-2.5687E-02,1.7654E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-5.2181E+00
THD,20101119,-124.1508,41.0545,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.2917E+00
THD,20101121,-124.1508,41.0545,0.0000E+00,-4.2066E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.4775E-01
THD,20101123,-124.1508,41.0545,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-5.4160E-01
THD,20101125,-124.1508,41.0545,1.9057E-01,1.2701E-01,5.1066E-04,0.0000E+00,9.7200E-07,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.9687E+00
THD,20101127,-124.1508,41.0545,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.7164E-02
THD,20101129,-124.1508,41.0545,0.0000E+00,1.9257E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-6.0313E+00
VTR,20101101,-117.2903,34.5361,-4.0800E-05,-1.0996E-03,-3.1685E-03,-2.4225E-03,-4.8890E-04,1.8637E-02,-6.5949E-04,-1.2967E-03,2.4954E-04,9.7439E-02,1.5984E-02,1.3591E-02,-3.3800E-05,1.0323E-03,-5.2667E-04,-4.2399E-02,3.5542E-02
VTR,20101103,-117.2903,34.5361,9.2813E-04,5.0531E-04,5.3548E-04,1.9200E-07,2.2429E-04,1.3033E-03,-1.1400E-05,3.8000E-06,-1.7100E-05,4.0376E-01,5.9700E-05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,7.1882E-03,7.7197E-01
VTR,20101105,-117.2903,34.5361,4.2570E-03,2.8046E-03,4.1832E-03,2.1514E-02,1.0866E-04,5.2704E-04,5.4269E-03,4.7669E-03,5.2621E-03,-6.5402E-02,4.2392E-04,-1.3926E-01,1.2439E-01,4.0473E-01,7.5800E-06,2.0741E-03,7.7878E-01
VTR,20101107,-117.2903,34.5361,7.7659E-03,1.3614E-01,2.9975E-01,1.5603E-01,4.9231E-02,6.6337E-03,3.1740E-01,2.2600E-01,1.2940E-01,-4.3953E-01,7.7361E-01,3.2077E-01,1.3120E-02,6.6875E-03,-1.1200E-05,3.3357E-01,1.5680E-01
VTR,20101109,-117.2903,34.5361,6.0765E-02,1.5805E-03,5.5018E-02,1.0667E-02,6.3299E-03,1.5500E-01,2.0208E-02,2.2396E-02,-5.7100E-06,8.4735E-02,2.6517E-04,7.9494E-04,0.0000E+00,0.0000E+00,-1.4691E-03,1.7262E-01,5.0516E-02
VTR,20101111,-117.2903,34.5361,6.4588E-02,3.1890E-02,2.2034E-02,2.1325E-03,2.1044E-03,6.2409E-02,3.0620E-03,-1.8908E-04,4.9900E-06,1.0272E-01,-1.9663E-04,-6.3300E-05,0.0000E+00,0.0000E+00,3.6500E-05,8.2743E-03,5.4737E-01
VTR,20101113,-117.2903,34.5361,2.6797E-02,-2.0816E-03,-2.8312E-02,6.7252E-02,2.9500E-05,8.4282E-02,3.0869E-04,-5.0500E-05,0.0000E+00,1.3557E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.9144E-03,8.2716E-04,9.4533E-01
VTR,20101115,-117.2903,34.5361,1.2398E-01,4.3088E-04,2.5112E-03,9.6451E-02,1.6100E-05,1.9777E-01,0.0000E+00,9.2039E-03,1.1800E-05,3.9197E-01,-2.7638E-04,-5.2308E-03,-8.6733E-04,-2.2581E-03,4.6162E-03,2.3735E-01,5.6627E-01
VTR,20101117,-117.2903,34.5361,5.6855E-02,2.7362E-02,2.8540E-02,5.5472E-02,0.0000E+00,3.5453E-02,5.5400E-06,2.8634E-03,-1.7100E-07,1.3425E-01,2.5763E-04,9.7853E-04,1.9600E-05,2.3000E-05,2.3343E-03,3.9055E-02,2.7934E-01
VTR,20101119,-117.2903,34.5361,1.5977E-02,0.0000E+00,1.2571E-03,9.2667E-03,0.0000E+00,2.4781E-02,-8.6000E-05,-5.2704E-04,3.6305E-04,1.0362E-01,1.9536E-02,1.7541E+00,2.2776E-02,1.5574E-01,4.8753E-04,5.9695E-02,5.2436E-01
VTR,20101121,-117.2903,34.5361,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.9108E-01,-1.9058E-01,-2.2684E-01,0.0000E+00,0.0000E+00,0.0000E+00,-1.4603E-03,5.6155E-03
VTR,20101123,-117.2903,34.5361,0.0000E+00,5.3627E-04,2.3000E-05,1.2000E-05,4.1700E-06,2.1300E-06,8.0626E-03,1.5945E-03,5.3876E-02,-2.9858E-01,2.6658E-01,-2.2108E-01,0.0000E+00,1.8000E-05,0.0000E+00,9.6057E-02,5.1921E-02
VTR,20101125,-117.2903,34.5361,-1.6761E-02,-1.3357E-02,-1.7307E-02,2.7838E-02,-9.0100E-05,1.1912E-01,0.0000E+00,4.1240E-04,0.0000E+00,1.9703E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.1543E-03,5.9525E-03,1.5723E-01
VTR,20101127,-117.2903,34.5361,8.4268E-03,-5.7861E-04,-6.4576E-03,3.1083E-03,-4.3348E-04,-2.6595E-04,-1.1409E-03,2.5701E-03,4.6212E-03,-3.9762E-01,1.7231E-02,-1.7961E-01,-5.1170E-03,-1.0252E-02,1.8736E-04,2.9038E-02,-2.6142E-02
VTR,20101129,-117.2903,34.5361,7.1635E-02,3.8620E-03,4.5433E-03,-2.0548E-02,1.4400E-06,4.0575E-02,2.7300E-05,1.9200E-05,0.0000E+00,5.4413E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,-1.7574E-03,8.5512E-04,2.6962E-01
WGC,20101101,-121.4911,38.265,0.0000E+00,4.0451E-02,2.6434E+00,1.2370E-02,2.8937E-01,0.0000E+00,8.0715E-02,9.9728E-04,1.6705E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,5.3965E-02
WGC,20101103,-121.4911,38.265,1.8864E-01,1.5328E-01,1.0439E+01,1.9536E+00,2.9370E-02,2.5641E-01,3.0274E-01,2.7529E-01,7.5189E-02,1.7259E-01,9.8824E-02,3.4463E-02,-6.5200E-05,-3.7400E-05,2.2723E-02,5.4579E-01,1.5845E-01
WGC,20101105,-121.4911,38.265,2.2984E-01,5.6182E-01,2.6889E-03,1.8811E-01,1.2451E-01,4.9380E-02,1.7793E+00,2.5048E-01,5.1984E-01,1.8532E-01,5.5334E-01,1.7120E-01,3.8984E-02,4.2465E-02,4.4911E-04,5.9526E-01,7.6147E-01
WGC,20101107,-121.4911,38.265,0.0000E+00,5.9546E-03,-1.6447E-01,0.0000E+00,1.6407E-03,0.0000E+00,-3.1861E-01,0.0000E+00,9.5626E-02,-4.6000E-07,4.8201E-02,-1.0300E-05,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.3214E-02
WGC,20101109,-121.4911,38.265,-1.1647E-03,3.4685E-01,1.5707E-01,-3.5693E-04,1.9230E-01,0.0000E+00,1.5378E+00,1.7658E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.8757E-01
WGC,20101111,-121.4911,38.265,1.5629E-01,8.3480E-02,-4.0399E-01,1.1618E+00,3.1440E-03,1.3586E-01,1.3544E-03,-3.6446E-01,5.0837E-04,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.9392E-02,2.0949E-03,3.9721E-01
WGC,20101113,-121.4911,38.265,3.1674E-01,1.5925E-02,1.2275E+00,2.2432E+00,-3.0807E-04,1.1015E-01,0.0000E+00,-3.6254E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.0825E-01,0.0000E+00,8.2871E-01
WGC,20101115,-121.4911,38.265,7.1237E-01,2.4034E-02,-7.7086E-01,4.3364E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,8.1890E-03,0.0000E+00,2.8219E-01
WGC,20101117,-121.4911,38.265,-6.3977E-02,5.7870E-02,3.4734E+00,4.8759E-01,4.4884E-02,3.7248E-03,1.2809E+00,-6.9045E-01,5.6228E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,4.3462E-03,-2.2822E-03,2.1625E-01
WGC,20101119,-121.4911,38.265,0.0000E+00,6.8422E-01,2.4360E-01,0.0000E+00,2.9517E-03,0.0000E+00,2.0297E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.5377E-01
WGC,20101121,-121.4911,38.265,1.5114E-04,4.1327E-01,-2.5442E-01,0.0000E+00,-1.9272E-02,0.0000E+00,-5.9644E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.2114E-01
WGC,20101123,-121.4911,38.265,0.0000E+00,1.4232E-02,-1.6372E-01,0.0000E+00,-1.9532E-03,0.0000E+00,-4.2414E-01,-5.2846E-01,3.3863E-02,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,3.3650E-03,3.1768E-02
WGC,20101125,-121.4911,38.265,-2.8292E-01,6.4112E-02,2.3726E+00,3.5350E-01,1.1301E-02,0.0000E+00,7.9762E-02,-2.0323E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,1.5354E-03,0.0000E+00,1.0928E-02
WGC,20101127,-121.4911,38.265,-2.6109E-03,3.1348E-02,7.9691E-03,1.7076E-04,2.5886E-03,-8.6384E-04,3.6873E-01,4.8558E-01,4.8846E-01,-3.5228E-04,4.1937E-03,-3.5038E-04,0.0000E+00,0.0000E+00,-9.8600E-05,6.3414E-02,1.0464E-01
WGC,20101129,-121.4911,38.265,-2.0583E-02,4.6013E-02,2.6133E+00,6.8199E-01,1.9549E-02,0.0000E+00,3.2343E-03,-2.3948E-01,5.5343E-03,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,2.9643E-03,7.3610E-04,6.4201E-02
